epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,130.094,0.64817,6.59512,0.49886,0.44717,1.25225,0.99817,1,0.995,0.83691,0.93945,0.94118,0.92046,0.33656,0.59408,3.80419,0.47773,0.39509,1.02093,0.0014324,0.0014324,0.0014324
45,133.01,0.70687,6.34765,0.45966,0.45281,1.30678,0.99821,1,0.995,0.83155,0.76342,0.76471,0.6243,0.20745,0.83711,3.80104,0.48881,0.47906,1.25938,0.0014192,0.0014192,0.0014192
46,135.922,0.67406,6.3284,0.45662,0.44113,1.24687,0.99802,1,0.995,0.72067,0.79255,0.79412,0.63132,0.1826,1.16469,4.1597,0.57307,0.56622,1.87984,0.001406,0.001406,0.001406
47,138.833,0.65839,6.64143,0.47656,0.44125,1.25628,0.99072,1,0.995,0.81087,0.99072,1,0.995,0.35685,0.81178,3.72221,0.53243,0.43047,1.47055,0.0013928,0.0013928,0.0013928
48,141.749,0.62849,6.05933,0.45911,0.43514,1.23703,0.99828,1,0.995,0.84324,0.82209,0.82353,0.78283,0.24556,0.65426,4.20678,0.58151,0.35602,1.07217,0.0013796,0.0013796,0.0013796
49,144.672,0.62198,6.08775,0.46444,0.41675,1.23319,0.99799,1,0.995,0.8647,0.85174,0.85294,0.80868,0.29729,0.68296,3.80639,0.61198,0.39596,1.05898,0.0013664,0.0013664,0.0013664
50,147.608,0.62009,5.83351,0.45678,0.43043,1.22819,0.9957,1,0.995,0.80973,0.73206,0.73529,0.58167,0.16033,0.85565,4.37537,0.60851,0.46007,1.27755,0.0013532,0.0013532,0.0013532
51,150.53,0.5931,5.53083,0.44256,0.42129,1.19824,0.99788,1,0.995,0.83069,0.88048,0.88235,0.81476,0.30138,0.79732,4.4038,0.49686,0.35272,1.27523,0.00134,0.00134,0.00134
52,153.5,0.62883,5.64933,0.44291,0.43855,1.24023,0.99819,1,0.995,0.81161,0.85249,0.85294,0.76985,0.18589,0.86271,3.40968,0.51277,0.33722,1.41393,0.0013268,0.0013268,0.0013268
53,156.429,0.61062,5.74002,0.44057,0.41455,1.21415,0.99817,1,0.995,0.85816,0.88074,0.88235,0.81397,0.31018,0.6821,3.06024,0.48564,0.30999,1.12359,0.0013136,0.0013136,0.0013136
